Date,NGD,LDZ,GTP,IND,HDD,HDD-1,Rus,Workday,War,FR nuclear,DE wind,DE solar,THE price,DE IND index,EU storage,EU LNG,UK NL production,Norway sendout,African TAP
2017-04-02,-54.91151059230001,-33.145088450653844,-3.455158258389365,-18.31126385461618,-2.0281844990976645,-3.917261736945087,-7.5156688875044955,-0.6192281200801488,-0.0008523865750679833,-1400.9202824590993,-6796.334755077884,535.6757787113113,-0.3299947628929928,-0.0408604278986193,-0.3312971175635677,-175.56753510984672,26.97585950523887,,-10.410697082934982
2017-04-03,-13.14608567855551,-22.368863402652643,6.960945021566838,2.261832793826649,-0.4670582301841614,-2.0278118205536027,2.6215212980660763,0.3566842886789752,-0.0006090775726348932,129.43446206645345,-7885.889280625328,-245.23871967056624,0.0030161860121195594,-0.05224063773317053,-0.28172412486283616,168.89310965900944,27.842604242080863,,-0.9507605135919152
2017-04-04,-3.5398722608437834,-13.881331543614914,5.798432024560759,4.543027306524962,0.81498734420307,-0.4666855516400997,5.427574716505234,0.34743854658651774,-0.00036576857020180324,306.91146936572324,-9655.601604226302,-422.6536387644178,0.19760256070798202,-0.026803641523920462,-0.2678044168336371,197.18036026728205,24.36555459295813,,-0.3521922045894879
2017-04-05,0.8539180392413153,-3.9195732338862053,0.5837234295571077,4.18976784131451,0.5164671436829937,0.8153600227471317,15.14068816276192,0.332961660941749,-0.00012245956776871326,819.9367735019836,13261.796753437933,-574.6244014604598,0.3843689840656489,-0.049386833922940174,-0.24476670393827038,96.85044542543294,12.294389505238785,,0.5187721141453112
2017-04-06,15.187350493049166,4.856047931617431,0.843225624167817,9.488076892018862,1.2707476169697334,0.5168398222270555,12.584483132469913,0.3402609310147417,0.00012084943466437633,1567.3137808012518,9018.192057574186,-357.1206835117408,0.6340867456228263,-0.033885783342648475,-0.2678530786341311,135.08610235973944,2.1534259964668445,,0.5582770289871613
2017-04-07,8.498799895676857,3.1619534948035737,2.4505883632213434,2.8862581237597515,0.06879452760963778,1.271120295513795,10.812630456330028,0.3496283276084157,0.0003641584370974664,264.7484523340908,-233.64996189053448,-1606.9970617168706,0.3001220254281798,-0.01707932856042721,-0.24536889371928797,219.9092167149708,23.987495168616014,,0.9816192187681887
2017-04-08,-26.0845930634837,-9.017442467309571,-2.201014832846785,-14.86613567986069,-1.5704205845684642,0.06916720615369948,10.070263944157318,-0.6243376091312437,0.0006074674395305563,-2268.261766643995,-10040.216628557202,-292.3333437681521,0.004732731024284856,-0.03255138957262623,-0.17087619298936046,-146.12438425826537,7.320375724171539,,0.19971912144458326
2017-04-09,-48.71551843161628,-25.36666649933269,-6.041954689227565,-17.306897316811995,-3.411317473287445,-1.5700479060244024,4.604011839187713,-0.6244592636324603,0.0008507764419636464,-1611.2852459627393,2154.538152464697,2770.177697898515,0.10624732956443186,-0.02081228908720741,0.01456662939507231,-222.58324070595356,3.5872715575048995,,0.34165039881685616
2017-04-10,-28.82382377583896,-27.456336029551696,-1.6413028337299962,0.2738150543582944,-3.5333789113271012,-3.4109447947433837,6.200171124626909,0.3785820988979533,0.0010940854443967365,-295.8301364736953,7201.917872659342,921.8874575138999,0.2713598599780575,-0.025965622134639304,0.09761529119556175,114.87521428188039,-9.390674102217345,,1.8952129048995763
2017-04-11,-1.9655180036929674,-10.607787937422726,2.398529057490203,6.243740882341247,0.622184753312313,-3.53300623278304,3.3670110667862105,0.35473781665951054,0.0013373944468298264,384.1028318961407,3974.942276552288,38.046239565182645,0.0156664293211215,-0.038579958747776866,0.13053499922475173,82.52091987798752,0.25070002972706074,,3.134970702953101
2017-04-12,-11.833499586527484,-14.090077159077216,-2.552972015839485,4.809549499348543,-1.0672568607037467,0.6225574318563747,1.1261464106828605,0.3110638507227709,0.0015807034492629163,702.6231481978443,10866.39811596835,-513.9408277425107,-0.07393515218739594,-0.03809888842418867,0.14928074131720312,125.58706343029911,-12.912457956384026,,3.768281457211017
2017-04-13,-8.905904383559191,-8.25752726632538,-1.5515629834112616,0.9031858409215443,-0.7459021924496112,-1.066884182159685,3.3238132708362116,0.3256623908687563,0.0018240124516960066,824.2294742319195,3532.863286284649,-1125.2949623578947,0.24667616168122375,-0.031956073495949984,0.18037928146319532,-34.62963973271819,-7.670994761939572,,4.470767223634372
2017-04-14,-29.80015362583411,-8.126153709517592,-4.74757229572513,-16.92642763823293,-0.3755009692873224,-0.7455295139055496,0.27929288169746647,-0.6430724023185915,0.0020673214541290967,520.2210800713281,-2744.922480138711,-468.74343992199726,-0.024300115691041596,-0.037050390335355426,0.2760240503196388,-245.49886114391003,3.401773640838104,,1.0882322601307342
2017-04-15,-35.12498890206279,-8.76342760521104,-6.224140821837054,-20.137420498510313,-0.7412829609678548,-0.3751282907432607,-0.16899529408123293,-0.5951405288392728,0.0023106304565621866,-3081.708481972472,12033.108955384405,-1688.3262283835354,0.23811472615810725,-0.003560925132198918,0.4059194274485979,-297.0788368130099,-11.49703330360615,,-12.753745404102844
2017-04-16,-22.026131412220927,2.699287807739086,-6.245033384948974,-18.48038580608331,1.3706090636368913,-0.7409102824237931,-0.5728484412368324,-0.6077925969657936,0.0025539394589952765,-3673.834272726725,-4945.023210065716,-1213.4727668450746,0.17009161180287263,-0.026772325388892706,0.49278074131721294,-302.8947857181193,10.504534751949329,,-12.973135464930103
2017-04-17,3.136663253665894,16.079115055574853,-4.956574685467223,-7.985877132534644,2.5258318384226555,1.3709817421809531,-0.3325964757405364,-0.6172816480606842,0.0027972484614283664,233.4302041589129,-2433.486129773747,-1129.4768213322552,0.1335922200753783,-0.00679558248983809,0.5563269700276706,-266.83976138721897,-1.89837549110629,,-16.51553334814179
2017-04-18,56.77014854331186,34.08148965318556,5.270211264677546,17.41844753973543,4.156463376586889,2.5262045169667173,3.756652977370231,0.3661733397738658,0.0030405574638614563,354.7645107282511,-2323.513733180072,-814.4560681271272,1.0564511008539674,-0.03564842571491349,0.4771396220958003,101.87424104587049,3.857456279727063,,-0.11235068390821057
2017-04-19,81.70219764284451,50.30120500610417,7.951684187672324,23.44930847731516,5.020659995314834,4.151960856631934,5.080253906470951,0.36102180835837977,0.0033080184628595964,929.511548977865,-7081.738185466461,17.358869326196384,0.9623955691522317,-0.019118899780368268,0.2552161660345432,84.69608509553441,-4.150262073708534,,-2.996970981747054
2017-04-20,72.90740039423154,49.923775960149065,4.798938179272438,18.1846863577561,3.745815263499781,5.014727516036061,3.4909946857290595,0.3656867217689996,0.003527175468727637,920.7427345725351,-2345.133453374718,2139.3595165753886,0.39193832713134175,-0.022277344430243706,0.01424667805687252,314.10228240840155,20.448975294712508,,-3.3364481413291354
2017-04-21,31.711907888306996,27.40734170525126,-2.9864484693516533,7.29101471343735,-0.3475017883305101,3.746187942043843,5.480960288676732,0.37517577286389003,-0.0035287856018319736,485.88434041195865,12614.707860493896,1171.088432432994,0.19353565073231455,-0.06136791108838206,-0.0890270445708699,64.13247705560347,16.702048452607247,,8.522902831906872
2017-04-22,4.06668914027782,14.06538735898724,-4.9292075979891194,-5.069490624835144,0.6714346374142607,-0.3471291097864484,4.736699678939547,-0.5768923536567911,-0.003285476599398883,555.394681044569,7208.17248336494,-1211.5706290556798,0.6637941665473988,-0.02825462396064356,-0.06022777449788007,-3.1187273239583035,-8.231706810550662,,-1.0065776303802318
2017-04-23,8.939789325022296,16.7862596164094,-4.834475584732428,-3.011994802329043,2.5666382173556213,0.6718073159583224,4.72574129504299,-0.5987901638757693,-0.003042167596965793,767.7365301929785,-178.7923584842108,205.90348097668132,0.01609039525786271,-0.009732843626116136,-0.023457701505176655,-92.33875165485875,19.604444943835368,,0.9652187078192824
2017-04-24,15.679542100715755,8.697991872723266,-0.9416558941728196,7.923206101149045,0.028877863444062353,2.5670108958996827,2.235369762990607,0.36787650279089734,-0.002798858594532703,-547.9273384201579,-6815.025813472043,2866.796247966974,0.28734951934545316,0.005584457101377244,-0.03266573070225833,208.56562790718502,5.6639317859405525,,6.656213975459184
2017-04-25,34.53980252188247,16.690961601066363,5.54799025809117,12.300850739217186,0.9527649892125574,0.029250541988124067,0.6004688969480951,0.37310764634320875,-0.002555549592099613,1451.3292309229123,-5457.589864566934,-940.5838976640938,-0.2062210402652559,-0.012082910441203484,-0.5650124460307264,162.0051899509804,-4.518987336866552,,-4.244798262983646
2017-04-26,52.722339934766836,23.81357774932183,10.369534477283388,18.539227740195276,3.1026875470187623,0.953137667756619,-0.9493276970969344,0.38040691641620156,-0.0023122405896665228,2186.9136591467545,-8369.432480138708,-829.6297229068132,-0.13129220814846643,-0.020602412071369803,-0.26926548739325934,383.62428970767166,7.259251961379143,,4.836678184704931
2017-04-27,61.028448137980924,27.558364763351,6.816018207057111,26.654065220413035,2.8347402801518506,3.103060225562824,-1.4572772171030675,0.34403222055245447,-0.002068931587233433,2820.8360435749787,-5140.59036335039,-612.8561953987218,-0.5753718918467623,-0.023588761140705235,-0.3750343438409448,116.10310965900962,4.591300382431856,,-1.0732871072658652
2017-04-28,38.20541054826078,23.041545587675827,4.890891193894095,10.272973802971404,2.153802180372776,2.8351129586959125,-2.8034486457696817,0.3609421962215544,-0.001825622584800343,2049.685070338962,-5181.721652888102,-965.9069073728328,-0.4095355171509009,-0.04034036146067775,-0.4890513754711168,91.3099953037785,-5.371865757919095,,0.35924425526455367
2017-04-29,7.148531583041762,16.82754239887781,-2.259657497310286,-7.4193533351867345,1.2731947825489305,2.1541748589168375,-5.47014954272586,-0.5930724023185916,-0.001582313582367253,516.5218099983356,-3005.233830503673,715.6241767695617,-0.46560607676160615,-0.020858169250210026,-0.4855927380015325,-100.25064946507791,4.233356873659835,,-1.22271233840942
2017-04-30,-28.279839275632185,-0.4051961922499612,-8.336766553789605,-19.53787653950547,-0.49348030638123863,1.2735674610929921,-9.152034969629796,-0.6170383390582511,-0.001339004579934163,-1091.2895038702795,17663.788347111895,4065.6131249896293,-0.54637250011927,-0.002114648869441401,-0.30956597401125946,-310.2117443555888,-1.0632061087962816,,-9.162582326243978
2017-05-01,-28.243814483442424,-5.947121774865511,-7.774812636243375,-14.521880064931262,0.016161296110853984,-0.49310762783717693,-0.606116237053139,-0.6576709424645771,-0.001095695577501073,22.018525326810533,5685.352957817496,-628.4613733922489,-0.3836030353990768,0.6073168375235033,-0.2539394533299932,-259.7004791487765,-13.923353652655871,,-4.393973895587033
2017-05-02,3.9271307660333066,-4.33334467648719,-1.0292248927226941,9.28970031971719,1.0515608641690046,0.016533974654915684,0.9441556458287944,0.33077187991985113,-0.0008523865750679833,227.54638420757502,4954.948578255452,-1934.4108879553567,0.06942190377367441,-0.03203037289862929,-0.2599637842302396,67.64913155681998,10.883026171905497,,-4.97249708293498
2017-05-03,-0.26308798022218305,-7.664028218985969,2.2259421804001764,5.174998063159997,0.0367563264158422,1.0519335427130663,1.9653301047327627,0.3066842886789752,-0.0006090775726348932,1824.651128733128,6558.77738604134,-690.2437196705664,-0.1059004806545461,-0.043400526066498885,-0.23522412486283797,330.3297763256764,-1.775395757919188,,3.394492819741424
2017-05-04,12.843721245822916,0.36390148505176034,4.356652961727427,8.123166799191608,1.5819583456364015,0.0371290049599039,3.9804588365052775,0.3141052132531844,-0.00036576857020180324,1988.3448026990648,3176.4483957736993,-2645.5219720977516,-0.03714743929201622,-0.017955609857275633,-0.2964710835003139,185.85702693394902,-7.952112073708566,,0.8303394620771958
2017-05-05,12.247563682574658,1.3048817224471128,4.700853272390447,6.241828703647859,1.5873692057829938,1.5823310241804633,3.2203591527619877,0.3162949942750823,-0.00012245956776871326,741.0034401686493,-4274.7699132287335,-2551.0527347937937,-0.32254768260102284,-0.04053261225630188,-0.2234333706049323,13.768778758766235,-4.821110494761156,,0.16709878081198765
2017-05-06,-26.771248863617558,-10.050096914215906,-3.753203294165521,-12.967948712481094,-1.0087231902635991,1.5877418843270554,3.701030659136662,-0.6430724023185916,0.00012084943466437633,-2120.10288586542,-3381.1746090924803,705.4859831549257,0.07033674562282394,-0.025026816675997713,-0.16935307863412616,-140.66889764026044,-17.57724067019975,,0.05014702898717416
